method,config,T0,T1,branch,arm,severity,estimator,n,coverage,mean_bias,mean_abs_bias,rmse,mean_se,mean_direct_shock_component,mean_iv_moment_bias_ratio,mean_weight_corr,cap_bound_fraction
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,1.4,TSLS,1000,0.749,0.019366948538267658,0.020784187707130083,0.02634257292219204,0.014675953215389458,0.019591793482732316,0.01936694853826765,0.844374878691168,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,2.0,SIV,1000,0.898,-0.000321775662823822,0.014390185110410774,0.019339545309465144,0.017390985382139887,-0.00021127288441037586,-0.00032177566282381173,0.8443730321261426,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,2.0,TSLS,1000,0.631,0.02776343145943865,0.02835102356274963,0.03499238584214366,0.016117698862193795,0.027988276403903313,0.027763431459438635,0.8443730321261426,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.0,SIV,1000,0.889,0.004569554408801574,0.02585731261182841,0.03492223247603031,0.029504192146949364,0.0,0.004569554408801577,0.6918757676351542,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.0,TSLS,1000,0.905,0.007170527546618309,0.017379125083424277,0.02381256716888666,0.02004148119916104,0.0,0.00717052754661831,0.6918757676351542,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.6,SIV,1000,0.883,0.0045836155055212074,0.02615220171322884,0.03517563551619143,0.029847078200653257,4.047028941032359e-05,0.004583615505521209,0.6917904109675893,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.6,TSLS,1000,0.837,0.019615251931301467,0.023615955653520093,0.032553209842551306,0.020526669898362698,0.012444724384683147,0.01961525193130146,0.6917904109675893,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,1.4,SIV,1000,0.87,0.004575173653215312,0.02810877157798841,0.03866615524487821,0.03114640111756799,6.715808297918443e-05,0.004575173653215286,0.6912399298327913,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,1.4,TSLS,1000,0.688,0.03620821777754565,0.03730158569298533,0.04910721457985065,0.02252165203484523,0.029037690230927345,0.036208217777545654,0.6912399298327913,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,2.0,SIV,1000,0.867,0.0045622366466829874,0.030203949046968943,0.04324294383590205,0.032603034578182186,7.368435249806898e-05,0.00456223664668299,0.6905091225864831,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,2.0,TSLS,1000,0.566,0.0486529421622288,0.049098709052347714,0.06282162037880377,0.02488105736375103,0.041482414615610495,0.0486529421622288,0.6905091225864831,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.0,SIV,1000,0.889,0.004569554408801574,0.02585731261182841,0.03492223247603031,0.029504192146949364,0.0,0.004569554408801577,0.6918757676351542,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.0,TSLS,1000,0.905,0.007170527546618309,0.017379125083424277,0.02381256716888666,0.02004148119916104,0.0,0.00717052754661831,0.6918757676351542,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.6,SIV,1000,0.862,0.016431615138157257,0.029968898398590117,0.04188381888653305,0.030774299942027447,0.011958469926328312,0.016431615138157284,0.6911109949340527,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.6,TSLS,1000,0.874,0.007842697683356787,0.01975726453858439,0.027511187875417082,0.020453239124548966,0.0006721701367384867,0.007842697683356789,0.6911109949340527,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,1.4,SIV,1000,0.821,0.03104653372785485,0.039364512963990114,0.057187031063297894,0.035030565097434796,0.026773276865535496,0.031046533727854857,0.6870174552565221,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,1.4,TSLS,1000,0.768,0.008738924532341447,0.028366014166961762,0.03898540087875609,0.022006250626810015,0.0015683969857231363,0.008738924532341447,0.6870174552565221,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,2.0,SIV,1000,0.791,0.04075074557826443,0.04715848394679924,0.06834744046158449,0.038881420600179954,0.0366706358940546,0.04075074557826443,0.6823385515960274,0.0
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,2.0,TSLS,1000,0.678,0.009411094669079925,0.03712031454486102,0.04974463200763262,0.02383362207392186,0.0022405671224616226,0.009411094669079929,0.6823385515960274,0.0
