method,config,T0,T1,branch,arm,severity,n_pairs,delta_coverage_siv_minus_tsls,mcse_delta_coverage,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_bias_siv_minus_tsls,mcse_delta_abs_bias,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,mcse_delta_rmse
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.0,1000,-0.014,0.010579031898804157,0.007170527546618315,0.004569554408806144,-0.0026009731378121704,0.0010257967051469123,0.008478187528419999,0.0007242914337455611,0.023812567168886675,0.034922232476041634,0.011109665307154959,0.001041008025805137
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.6,1000,0.034,0.012609639289170924,0.019003861891688078,0.005427986721662175,-0.013575875170025902,0.0011247336481976483,0.002991940586584355,0.0008580201757652168,0.032084067667594925,0.036284383921532895,0.00420031625393797,0.0014726573502249045
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,1.4,1000,0.154,0.015701290728170423,0.03478164101844773,0.00647219758689729,-0.028309443431550445,0.0014762862594677945,-0.007499139779654427,0.0011388953499576627,0.048192969817891444,0.041744680669085016,-0.006448289148806428,0.0022527959142167055
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,2.0,1000,0.258,0.017254962582797264,0.0466149753635175,0.007142630293685285,-0.039472345069832215,0.0018141937724743132,-0.01619123843966809,0.0013391002979860488,0.06164394300818374,0.04735333692648922,-0.014290606081694517,0.0027909771208353877
ARIMA-Z,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.0,1000,0.015,0.010624871193943381,0.00017556681007995523,0.0005903895389181333,0.00041482272883817804,0.00042985251666473925,0.006948957409688337,0.00028263847225592175,0.005502001326288576,0.014385384718624905,0.008883383392336328,0.00037510032782128873
ARIMA-Z,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.6,1000,0.05,0.012395711099152548,0.0033146448923665997,0.0005967803231526134,-0.0027178645692139862,0.00043142037033982083,0.006138434750919694,0.000291402177338949,0.00644453746829629,0.014410126157199832,0.007965588688903541,0.0003801745032168804
ARIMA-Z,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,1.4,1000,0.252,0.016209835247736445,0.007500082335415445,0.0006053283126298985,-0.006894754022785547,0.00043570447479867556,0.003443542814511551,0.0003149035147358262,0.009440465483599197,0.01444321660193742,0.005002751118338223,0.00039265552408870586
ARIMA-Z,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,2.0,1000,0.462,0.0175175016158944,0.01063916041770212,0.0006117593121344395,-0.01002740110556768,0.0004405226636302615,0.0006632050264687104,0.00032952022680758425,0.012216702992680344,0.014468109136693667,0.002251406144013323,0.00040045039879188027
ARIMA-Z,longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.0,1000,0.015,0.010624871193943381,0.00017556681007995523,0.0005903895389181333,0.00041482272883817804,0.00042985251666473925,0.006948957409688337,0.00028263847225592175,0.005502001326288576,0.014385384718624905,0.008883383392336328,0.00037510032782128873
ARIMA-Z,longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.6,1000,0.046,0.012330289373572546,0.0008247808147771085,0.0020158164413356027,0.0011910356265584946,0.0004407287165419517,0.006420444584014964,0.0002954196161776302,0.006394281021814203,0.014584514055174806,0.008190233033360602,0.0003949650076243511
