config,T0,T1,branch,arm,severity,attempted_cells,retained_cells,excluded_cells,cap_bound_cells,mean_K,mean_q_w_rank1_trace_share,mean_q_w_rank2_trace_share,mean_achieved_max_kappa,mean_direction_corr_tsls,mean_direction_corr_siv,mean_lambda_tsls,mean_lambda_siv,mean_kappa_tsls,mean_kappa_siv
longer_length,30,60,Aggregate Shock,A_TSLS_targeted,2.0,1000,1000,0,0,9257.039286921181,0.8213746828091644,0.8400352191077678,2.0,-0.5587667184235067,-0.00021563994782988974,-0.012994920092241997,-1.3477973828362108e-05,9257.039286921181,12.753389907758063
longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.0,1000,1000,0,0,6840.207795578892,0.8213746828091644,0.8400352191077678,0.0,-0.12436978016033184,-0.03781073755444777,-0.0028990504887498316,-0.002341707866467237,6813.164076341574,631.6934909811486
longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.6,1000,1000,0,0,6840.207795578892,0.8213746828091644,0.8400352191077678,0.5999999999999998,-0.12436978016033184,-0.03781073755444777,-0.0028990504887498316,-0.002341707866467237,6813.164076341574,631.6934909811486
longer_length,30,60,Aggregate Shock,B_SIV_targeted,1.4,1000,1000,0,0,6840.207795578892,0.8213746828091644,0.8400352191077678,1.3999999999999997,-0.12436978016033184,-0.03781073755444777,-0.0028990504887498316,-0.002341707866467237,6813.164076341574,631.6934909811486
longer_length,30,60,Aggregate Shock,B_SIV_targeted,2.0,1000,1000,0,0,6840.207795578892,0.8213746828091644,0.8400352191077678,2.0,-0.12436978016033184,-0.03781073755444777,-0.0028990504887498316,-0.002341707866467237,6813.164076341574,631.6934909811486
longer_length,30,60,Aggregate Shock,C_random_geometry,0.0,1000,1000,0,0,8759.56647246986,0.8213746828091644,0.8400352191077678,0.0,-0.5291268546886689,-0.000119859727907099,-0.012303800505286643,-7.125891673720299e-06,8759.56647246986,25.27432551222506
longer_length,30,60,Aggregate Shock,C_random_geometry,0.6,1000,1000,0,0,8759.56647246986,0.8213746828091644,0.8400352191077678,0.5999999999999998,-0.5291268546886689,-0.000119859727907099,-0.012303800505286643,-7.125891673720299e-06,8759.56647246986,25.27432551222506
longer_length,30,60,Aggregate Shock,C_random_geometry,1.4,1000,1000,0,0,8759.56647246986,0.8213746828091644,0.8400352191077678,1.3999999999999997,-0.5291268546886689,-0.000119859727907099,-0.012303800505286643,-7.125891673720299e-06,8759.56647246986,25.27432551222506
longer_length,30,60,Aggregate Shock,C_random_geometry,2.0,1000,1000,0,0,8759.56647246986,0.8213746828091644,0.8400352191077678,2.0,-0.5291268546886689,-0.000119859727907099,-0.012303800505286643,-7.125891673720299e-06,8759.56647246986,25.27432551222506
longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.0,1000,1000,0,0,2705.65110725238,0.8213746828091644,0.8400352191077678,0.0,-0.5564620334996982,-0.0005453903620573473,-0.012898416154709467,-4.8506119956643996e-05,2705.65110725238,47.97899941833694
