anchor_mode,target_role,tau_true,config,T0,T1,branch,estimator,method,n,coverage,coverage_mcse,mean_bias,absolute_bias,mean_abs_error,rmse,mean_se,sd_error,mean_weight_corr,mean_weight_max_abs
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,SIV,HAC,1000,0.681,0.01473902981881779,0.060506590531507524,0.060506590531507524,0.1449579993925701,0.24664420799221878,0.09735477974026951,0.23922697879994034,0.7462682455918314,0.117348719552327
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,TSLS,AR,1000,0.564,0.015681326474504636,,,,,,,0.7462682455918314,0.0779577528344372
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,TSLS,ARIMA-Z,1000,0.636,0.015215255502291114,0.8799979008763771,0.8799979008763771,1.1606372757071208,9.58556268323266,162.8739804299493,9.54985944734789,0.7462682455918314,0.0779577528344372
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,TSLS,HAC,1000,0.495,0.01581059771166163,0.8799979008763771,0.8799979008763771,1.1606372757071208,9.58556268323266,69.08744722039354,9.54985944734789,0.7462682455918314,0.0779577528344372
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,SIV,AR,1000,0.676,0.014799459449588015,,,,,,,0.7438564750127872,0.11533040090362115
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,SIV,ARIMA-Z,1000,0.777,0.013163244280951409,0.012533988645059013,0.012533988645059013,0.042121799410554994,0.06620932444683886,0.03443657512495849,0.06504463526632488,0.7438564750127872,0.11533040090362115
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,SIV,HAC,1000,0.655,0.015032464867745409,0.012533988645059013,0.012533988645059013,0.042121799410554994,0.06620932444683886,0.027518036082347295,0.06504463526632488,0.7438564750127872,0.11533040090362115
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,TSLS,AR,1000,0.467,0.015776913513105152,,,,,,,0.7438564750127872,0.078057864834046
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,TSLS,ARIMA-Z,1000,0.53,0.015782902141241326,0.356599345072494,0.356599345072494,0.7393873792072095,2.7031917659479894,3.3483947842601,2.68090840956631,0.7438564750127872,0.078057864834046
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,TSLS,HAC,1000,0.416,0.01558666096378567,0.356599345072494,0.356599345072494,0.7393873792072095,2.7031917659479894,2.372354863712526,2.68090840956631,0.7438564750127872,0.078057864834046
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,SIV,AR,1000,0.84,0.011593101396951551,,,,,,,0.9345494574184038,0.12442854542381308
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,SIV,ARIMA-Z,1000,0.902,0.009401914698613255,0.0010160917074954212,0.0010160917074954212,0.01820344494970302,0.02603163044082763,0.020860119404670273,0.02602480800469937,0.9345494574184038,0.12442854542381308
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,SIV,HAC,1000,0.835,0.011737759581794136,0.0010160917074954212,0.0010160917074954212,0.01820344494970302,0.02603163044082763,0.0176653606373132,0.02602480800469937,0.9345494574184038,0.12442854542381308
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,TSLS,AR,1000,0.834,0.011766222843376714,,,,,,,0.9345494574184038,0.12417452807954846
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,TSLS,ARIMA-Z,1000,0.9,0.009486832980505136,0.0011162125130108884,0.0011162125130108884,0.017069212562017367,0.023618629710466403,0.019240458924124126,0.023604043931408025,0.9345494574184038,0.12417452807954846
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,TSLS,HAC,1000,0.824,0.012042591083317579,0.0011162125130108884,0.0011162125130108884,0.017069212562017367,0.023618629710466403,0.01661694248207263,0.023604043931408025,0.9345494574184038,0.12417452807954846
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,SIV,AR,1000,0.812,0.01235540367612487,,,,,,,0.9338499234858268,0.12737434037130246
