anchor_mode,target_role,tau_true,config,T0,T1,branch,method,n_pairs,coverage_tsls,coverage_robust,delta_coverage_robust_minus_tsls,mcse_delta_coverage,bias_tsls,bias_robust,delta_signed_bias_robust_minus_tsls,mcse_delta_signed_bias,absolute_bias_tsls,absolute_bias_robust,delta_absolute_bias_robust_minus_tsls,delta_mean_abs_error_robust_minus_tsls,mcse_delta_mean_abs_error,rmse_tsls,rmse_robust,delta_rmse_robust_minus_tsls,mcse_delta_rmse
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,HAC,1000,0.802,0.786,-0.016,0.01562011485194613,0.019795946262067328,-2.0129199939614927e-05,-0.019816075462006942,0.017672902460214728,0.019795946262067328,2.0129199939614927e-05,-0.019775817062127714,-0.3233897629671279,0.013264361198187129,0.5664456330069619,0.09047075702165462,-0.4759748759853073,0.06758784825927269
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,AR,1000,0.564,0.714,0.15,0.01843474545090981,,,,,,,,,,,,,
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.636,0.81,0.174,0.016852537138603435,0.8799979008763772,0.06008554769328928,-0.819912353183088,0.30188581316736157,0.8799979008763772,0.06008554769328928,-0.8199123531830879,-1.0160731244504246,0.30104680086144636,9.585562683232661,0.2462613621431641,-9.339301321089497,3.5211669376580117
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,HAC,1000,0.495,0.679,0.184,0.018560401086412128,0.8799979008763772,0.06008554769328928,-0.819912353183088,0.30188581316736157,0.8799979008763772,0.06008554769328928,-0.8199123531830879,-1.0160731244504246,0.30104680086144636,9.585562683232661,0.2462613621431641,-9.339301321089497,3.5211669376580117
reanchored_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,AR,1000,0.467,0.677,0.21,0.017441450748266446,,,,,,,,,,,,,
reanchored_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.53,0.776,0.246,0.016963837177118028,0.3565993450724941,0.012428291187463303,-0.3441710538850307,0.08471942276190919,0.3565993450724941,0.012428291187463303,-0.3441710538850308,-0.6972648094874583,0.08219664869216273,2.703191765947988,0.06622186138331508,-2.636969904564673,1.0988485742977376
reanchored_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,HAC,1000,0.416,0.655,0.239,0.01772549556974905,0.3565993450724941,0.012428291187463303,-0.3441710538850307,0.08471942276190919,0.3565993450724941,0.012428291187463303,-0.3441710538850308,-0.6972648094874583,0.08219664869216273,2.703191765947988,0.06622186138331508,-2.636969904564673,1.0988485742977376
reanchored_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,AR,1000,0.834,0.84,0.006,0.009594584725565566,,,,,,,,,,,,,
reanchored_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,ARIMA-Z,1000,0.9,0.902,0.002,0.007749584250529576,0.00111621251301088,0.0010161214697011248,-0.00010009104330975527,0.000271534757076886,0.00111621251301088,0.0010161214697011248,-0.00010009104330975516,0.0011345800162487257,0.00025655866884196065,0.02361862971046641,0.026032084321514378,0.002413454611047968,0.0012135908964002672
reanchored_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,HAC,1000,0.824,0.835,0.011,0.009745459146390897,0.00111621251301088,0.0010161214697011248,-0.00010009104330975527,0.000271534757076886,0.00111621251301088,0.0010161214697011248,-0.00010009104330975516,0.0011345800162487257,0.00025655866884196065,0.02361862971046641,0.026032084321514378,0.002413454611047968,0.0012135908964002672
