sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.564,nan,nan,nan,nan,nan,0.7462682455918314,1.2322179904746426,0.8799979008763775,2.306004135204166
restricted,49,0.5,3.0,AR,longer_length,30,60,Aggregate Shock,SIV,1000,0.809,nan,nan,nan,nan,nan,0.3391830490444812,0.002224760692549869,0.0023260136375497227,1.9599639845400536
restricted,49,0.5,3.0,AR,longer_length,30,60,Aggregate Shock,TSLS,1000,0.122,nan,nan,nan,nan,nan,0.3391830490444812,0.4317588862870161,0.4318538144798718,1.9599639845400536
restricted,49,0.5,3.0,AR,longer_length,30,60,Basic,SIV,1000,0.915,nan,nan,nan,nan,nan,0.377490987674824,0.0,-0.00030918212924735687,1.9599639845400536
restricted,49,0.5,3.0,AR,longer_length,30,60,Basic,TSLS,1000,0.921,nan,nan,nan,nan,nan,0.377490987674824,0.0,1.8572646448877655e-05,1.9599639845400536
restricted,49,0.5,3.0,AR,longer_length,30,60,GFE,SIV,1000,0.93,nan,nan,nan,nan,nan,0.6241642204477962,0.0,-9.490686654965963e-05,1.9599639845400536
restricted,49,0.5,3.0,AR,longer_length,30,60,GFE,TSLS,1000,0.86,nan,nan,nan,nan,nan,0.6241642204477962,0.0,-0.0021887933351072146,1.9599639845400536
restricted,49,0.5,3.0,AR,longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.783,nan,nan,nan,nan,nan,0.4199133044789363,0.00671581119760404,0.006983443783216256,1.9599639845400536
restricted,49,0.5,3.0,AR,longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.251,nan,nan,nan,nan,nan,0.4199133044789363,0.43142380984470186,0.4279686824887316,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Aggregate Shock,SIV,1000,0.776,0.012428291187400586,0.04212256971965063,0.06622186138298798,0.03444363142174783,0.06507770440634529,0.7433218813109314,0.011094584899411522,0.012428291187400575,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Aggregate Shock,TSLS,1000,0.53,0.35659934507249397,0.7393873792072093,2.703191765947988,3.348394784260097,2.680908409566308,0.7433218813109314,0.3631203007158066,0.3565993450724942,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Basic,SIV,1000,0.902,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.020860600571561094,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Basic,TSLS,1000,0.9,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.019240458924124126,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE,SIV,1000,0.884,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.056263926913116394,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE,TSLS,1000,0.849,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.37484053615457924,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.809,0.06050659053151469,0.1449579993925742,0.24664420799222445,0.1283090491303591,0.23922697879994437,0.7462682455918314,0.0666872091927478,0.060506590531514706,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.636,0.8799979008763771,1.1606372757071208,9.585562683232657,162.87398042994923,9.54985944734789,0.7462682455918314,1.2322179904746426,0.8799979008763775,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,Aggregate Shock,SIV,1000,0.83,0.0023260136375497275,0.017981800704355216,0.024152652158303298,0.01585300567051305,0.024052417459032038,0.3391830490444812,0.002224760692549869,0.0023260136375497227,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,Aggregate Shock,TSLS,1000,0.179,0.43185381447987187,0.43241973103532394,0.4556982415936751,0.12452426362308552,0.14554846157008097,0.3391830490444812,0.4317588862870161,0.4318538144798718,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,Basic,SIV,1000,0.918,-0.00030918212924734245,0.014864869860824043,0.018961417521019788,0.01815691690376773,0.018968383177745227,0.377490987674824,0.0,-0.00030918212924735687,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,Basic,TSLS,1000,0.929,1.8572646448882456e-05,0.005394270523678067,0.006737924609924985,0.006544403096677389,0.00674127049106252,0.377490987674824,0.0,1.8572646448877655e-05,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE,SIV,1000,0.926,-9.49068665496493e-05,0.009196616211683637,0.011854691445636433,0.011194232260454278,0.01186024313938178,0.6241642204477962,0.0,-9.490686654965963e-05,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE,TSLS,1000,0.914,-0.0021887933351072155,0.09107711624760019,0.11334405271000922,0.10719649715515615,0.11337962077407214,0.6241642204477962,0.0,-0.0021887933351072146,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.82,0.0069834437832162555,0.015616742067707657,0.020471954866801607,0.013630853671223075,0.019253652955924166,0.4199133044789363,0.00671581119760404,0.006983443783216256,1.9599639845400536
restricted,49,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.309,0.42796868248873154,0.43147268510498105,0.4666162118269804,0.16659862096521694,0.18603253493051533,0.4199133044789363,0.43142380984470186,0.4279686824887316,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,Aggregate Shock,SIV,1000,0.655,0.012428291187400586,0.04212256971965063,0.06622186138298798,0.02752751286065164,0.06507770440634529,0.7433218813109314,0.011094584899411522,0.012428291187400575,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,Aggregate Shock,TSLS,1000,0.416,0.35659934507249397,0.7393873792072093,2.703191765947988,2.3723548637125242,2.680908409566308,0.7433218813109314,0.3631203007158066,0.3565993450724942,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,Basic,SIV,1000,0.835,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.017665704016748593,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,Basic,TSLS,1000,0.824,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.01661694248207269,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,GFE,SIV,1000,0.785,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.043146547412414395,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,GFE,TSLS,1000,0.802,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.30792893573827806,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.681,0.06050659053151469,0.1449579993925742,0.24664420799222445,0.09735477974027149,0.23922697879994437,0.7462682455918314,0.0666872091927478,0.060506590531514706,1.9599639845400536
restricted,49,0.5,3.0,HAC,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.495,0.8799979008763771,1.1606372757071208,9.585562683232657,69.08744722039353,9.54985944734789,0.7462682455918314,1.2322179904746426,0.8799979008763775,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,Aggregate Shock,SIV,1000,0.817,0.0023260136375497275,0.017981800704355216,0.024152652158303298,0.014995839443255353,0.024052417459032038,0.3391830490444812,0.002224760692549869,0.0023260136375497227,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,Aggregate Shock,TSLS,1000,0.084,0.43185381447987187,0.43241973103532394,0.4556982415936751,0.0838673788447945,0.14554846157008097,0.3391830490444812,0.4317588862870161,0.4318538144798718,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,Basic,SIV,1000,0.92,-0.00030918212924734245,0.014864869860824043,0.018961417521019788,0.017868621284944035,0.018968383177745227,0.377490987674824,0.0,-0.00030918212924735687,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,Basic,TSLS,1000,0.926,1.8572646448882456e-05,0.005394270523678067,0.006737924609924985,0.006460284592613956,0.00674127049106252,0.377490987674824,0.0,1.8572646448877655e-05,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,GFE,SIV,1000,0.934,-9.49068665496493e-05,0.009196616211683637,0.011854691445636433,0.010835588490595132,0.01186024313938178,0.6241642204477962,0.0,-9.490686654965963e-05,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,GFE,TSLS,1000,0.867,-0.0021887933351072155,0.09107711624760019,0.11334405271000922,0.0924950986719433,0.11337962077407214,0.6241642204477962,0.0,-0.0021887933351072146,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.786,0.0069834437832162555,0.015616742067707657,0.020471954866801607,0.012704016589450149,0.019253652955924166,0.4199133044789363,0.00671581119760404,0.006983443783216256,1.9599639845400536
restricted,49,0.5,3.0,HAC,longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.213,0.42796868248873154,0.43147268510498105,0.4666162118269804,0.12917067265586307,0.18603253493051533,0.4199133044789363,0.43142380984470186,0.4279686824887316,1.9599639845400536
