sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.25,4.5,HAC,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.678,0.13188557581042784,2.9958892475666397,37.48933078192699,1484.3653674132665,37.50785741734219,0.7673177525012475,0.005498795216604094,0.13188557581046834,1.9599639845400536
restricted,49,0.5,1.5,AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.665,nan,nan,nan,nan,nan,0.7446540460356762,0.018576057618309747,0.019975427683482698,2.306004135204166
restricted,49,0.5,1.5,AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.472,nan,nan,nan,nan,nan,0.7446540460356762,0.1815601503579033,0.17503919471459084,2.306004135204166
restricted,49,0.5,1.5,AR,finite_length,5,10,Basic,SIV,1000,0.84,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.5,1.5,AR,finite_length,5,10,Basic,TSLS,1000,0.834,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.5,1.5,AR,finite_length,5,10,GFE,SIV,1000,0.812,nan,nan,nan,nan,nan,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.5,1.5,AR,finite_length,5,10,GFE,TSLS,1000,0.811,nan,nan,nan,nan,nan,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.5,1.5,AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.695,nan,nan,nan,nan,nan,0.7516415901434972,0.07423174162329149,0.06935736534086231,2.306004135204166
restricted,49,0.5,1.5,AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.655,nan,nan,nan,nan,nan,0.7516415901434972,0.6161089952373213,0.2638889056390522,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,Aggregate Shock,SIV,1000,0.775,0.01997542768348271,0.0444960779345529,0.06793028960317454,0.03560261624273741,0.06495942010743176,0.7446540460356762,0.018576057618309747,0.019975427683482698,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,Aggregate Shock,TSLS,1000,0.537,0.17503919471459078,0.3736740250418991,1.4171943223294852,1.7601317461210069,1.4070468394353337,0.7446540460356762,0.1815601503579033,0.17503919471459084,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,Basic,SIV,1000,0.902,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.020860600571561094,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,Basic,TSLS,1000,0.9,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.019240458924124126,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,GFE,SIV,1000,0.884,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.056263926913116394,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,GFE,TSLS,1000,0.849,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.37484053615457924,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.798,0.06935736534086231,0.13844249307322504,0.21304714468523647,0.1251031344533827,0.20154220647918578,0.7516415901434972,0.07423174162329149,0.06935736534086231,2.306004135204166
restricted,49,0.5,1.5,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.739,0.26388890563905293,0.6940846620594736,4.541177707275354,46.08651367010278,4.535772353787241,0.7516415901434972,0.6161089952373213,0.2638889056390522,2.306004135204166
restricted,49,0.5,1.5,HAC,finite_length,5,10,Aggregate Shock,SIV,1000,0.649,0.01997542768348271,0.0444960779345529,0.06793028960317454,0.02847577603582696,0.06495942010743176,0.7446540460356762,0.018576057618309747,0.019975427683482698,1.9599639845400536
restricted,49,0.5,1.5,HAC,finite_length,5,10,Aggregate Shock,TSLS,1000,0.417,0.17503919471459078,0.3736740250418991,1.4171943223294852,1.2422881696019563,1.4070468394353337,0.7446540460356762,0.1815601503579033,0.17503919471459084,1.9599639845400536
restricted,49,0.5,1.5,HAC,finite_length,5,10,Basic,SIV,1000,0.835,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.017665704016748593,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,1.9599639845400536
restricted,49,0.5,1.5,HAC,finite_length,5,10,Basic,TSLS,1000,0.824,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.01661694248207269,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,1.9599639845400536
restricted,49,0.5,1.5,HAC,finite_length,5,10,GFE,SIV,1000,0.785,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.043146547412414395,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,1.9599639845400536
restricted,49,0.5,1.5,HAC,finite_length,5,10,GFE,TSLS,1000,0.802,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.30792893573827806,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,1.9599639845400536
restricted,49,0.5,1.5,HAC,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.671,0.06935736534086231,0.13844249307322504,0.21304714468523647,0.09368673878646493,0.20154220647918578,0.7516415901434972,0.07423174162329149,0.06935736534086231,1.9599639845400536
restricted,49,0.5,1.5,HAC,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.607,0.26388890563905293,0.6940846620594736,4.541177707275354,20.938346106044968,4.535772353787241,0.7516415901434972,0.6161089952373213,0.2638889056390522,1.9599639845400536
restricted,49,0.5,3.0,AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.677,nan,nan,nan,nan,nan,0.7433218813109314,0.011094584899411522,0.012428291187400575,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.467,nan,nan,nan,nan,nan,0.7433218813109314,0.3631203007158066,0.3565993450724942,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,Basic,SIV,1000,0.84,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,Basic,TSLS,1000,0.834,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE,SIV,1000,0.812,nan,nan,nan,nan,nan,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE,TSLS,1000,0.811,nan,nan,nan,nan,nan,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.714,nan,nan,nan,nan,nan,0.7462682455918314,0.0666872091927478,0.060506590531514706,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.564,nan,nan,nan,nan,nan,0.7462682455918314,1.2322179904746426,0.8799979008763775,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Aggregate Shock,SIV,1000,0.776,0.012428291187400586,0.04212256971965063,0.06622186138298798,0.03444363142174783,0.06507770440634529,0.7433218813109314,0.011094584899411522,0.012428291187400575,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Aggregate Shock,TSLS,1000,0.53,0.35659934507249397,0.7393873792072093,2.703191765947988,3.348394784260097,2.680908409566308,0.7433218813109314,0.3631203007158066,0.3565993450724942,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Basic,SIV,1000,0.902,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.020860600571561094,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,Basic,TSLS,1000,0.9,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.019240458924124126,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE,SIV,1000,0.884,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.056263926913116394,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE,TSLS,1000,0.849,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.37484053615457924,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.809,0.06050659053151469,0.1449579993925742,0.24664420799222445,0.1283090491303591,0.23922697879994437,0.7462682455918314,0.0666872091927478,0.060506590531514706,2.306004135204166
restricted,49,0.5,3.0,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.636,0.8799979008763771,1.1606372757071208,9.585562683232657,162.87398042994923,9.54985944734789,0.7462682455918314,1.2322179904746426,0.8799979008763775,2.306004135204166
restricted,49,0.5,3.0,HAC,finite_length,5,10,Aggregate Shock,SIV,1000,0.655,0.012428291187400586,0.04212256971965063,0.06622186138298798,0.02752751286065164,0.06507770440634529,0.7433218813109314,0.011094584899411522,0.012428291187400575,1.9599639845400536
